============================= test session starts =============================
platform win32 -- Python 3.14.3, pytest-9.0.2, pluggy-1.6.0 -- C:\Program Files\Python314\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\yelron\OneDrive - Intel Corporation\Documents\VS Code Projects\InvestAI
configfile: pytest.ini
plugins: anyio-4.12.1, base-url-2.1.0, playwright-0.7.2
collecting ... collected 157 items

tests/test_e2e.py::TestSiteLoads::test_login_page_loads[chromium] PASSED [  0%]
tests/test_e2e.py::TestSiteLoads::test_unauthenticated_redirect[chromium] PASSED [  1%]
tests/test_e2e.py::TestSiteLoads::test_page_title[chromium] PASSED       [  1%]
tests/test_e2e.py::TestLogin::test_successful_login[chromium] FAILED     [  2%]
tests/test_e2e.py::TestLogin::test_wrong_password_shows_error[chromium] PASSED [  3%]
tests/test_e2e.py::TestLogin::test_logout_returns_to_login[chromium] PASSED [  3%]
tests/test_e2e.py::TestLogin::test_logout_button_click_logs_out[chromium] PASSED [  4%]
tests/test_e2e.py::TestLogin::test_logout_clears_session_cookie[chromium] PASSED [  5%]
tests/test_e2e.py::TestNavigation::test_navigate_to_each_page[chromium] FAILED [  5%]
tests/test_e2e.py::TestNavigation::test_browser_back_navigates_within_spa[chromium] PASSED [  6%]
tests/test_e2e.py::TestNavigation::test_browser_forward_after_back[chromium] PASSED [  7%]
tests/test_e2e.py::TestNavigation::test_url_hash_updates_on_navigation[chromium] FAILED [  7%]
tests/test_e2e.py::TestDashboardFlow::test_dashboard_stats_show_dollar_values[chromium] PASSED [  8%]
tests/test_e2e.py::TestDashboardFlow::test_market_grid_shows_live_data[chromium] PASSED [  8%]
tests/test_e2e.py::TestDashboardFlow::test_sparkline_charts_render_on_market_cards[chromium] FAILED [  9%]
tests/test_e2e.py::TestDashboardFlow::test_sparkline_charts_have_pixel_data[chromium] FAILED [ 10%]
tests/test_e2e.py::TestDashboardFlow::test_sparkline_data_has_realistic_values[chromium] FAILED [ 10%]
tests/test_e2e.py::TestDashboardFlow::test_ticker_strip_has_data[chromium] PASSED [ 11%]
tests/test_e2e.py::TestDashboardFlow::test_chart_trend_renders[chromium] PASSED [ 12%]
tests/test_e2e.py::TestDashboardFlow::test_budget_overview_section_present[chromium] PASSED [ 12%]
tests/test_e2e.py::TestTransactionsFlow::test_create_and_see_transaction[chromium] PASSED [ 13%]
tests/test_e2e.py::TestTransactionsFlow::test_transaction_table_has_rows[chromium] PASSED [ 14%]
tests/test_e2e.py::TestTransactionsFlow::test_filter_by_type[chromium] PASSED [ 14%]
tests/test_e2e.py::TestBudgetsFlow::test_create_budget_and_verify_card[chromium] PASSED [ 15%]
tests/test_e2e.py::TestBudgetsFlow::test_budget_card_shows_progress[chromium] PASSED [ 15%]
tests/test_e2e.py::TestProfileFlow::test_profile_wizard_loads[chromium] PASSED [ 16%]
tests/test_e2e.py::TestProfileFlow::test_profile_wizard_has_interactive_options[chromium] PASSED [ 17%]
tests/test_e2e.py::TestScreenerFlow::test_screener_filters_populated_from_api[chromium] PASSED [ 17%]
tests/test_e2e.py::TestScreenerFlow::test_screener_search_returns_results[chromium] FAILED [ 18%]
tests/test_e2e.py::TestScreenerFlow::test_screener_preset_value_stocks[chromium] FAILED [ 19%]
tests/test_e2e.py::TestScreenerFlow::test_screener_preset_value_stocks_shows_cards[chromium] FAILED [ 19%]
tests/test_e2e.py::TestScreenerFlow::test_screener_preset_growth_tech[chromium] FAILED [ 20%]
tests/test_e2e.py::TestScreenerFlow::test_screener_preset_high_dividend[chromium] FAILED [ 21%]
tests/test_e2e.py::TestScreenerFlow::test_screener_preset_all_etfs[chromium] FAILED [ 21%]
tests/test_e2e.py::TestScreenerFlow::test_screener_card_has_metrics[chromium] FAILED [ 22%]
tests/test_e2e.py::TestScreenerFlow::test_screener_card_has_signal_badge[chromium] FAILED [ 22%]
tests/test_e2e.py::TestScreenerFlow::test_screener_clear_resets_filters[chromium] FAILED [ 23%]
tests/test_e2e.py::TestScreenerFlow::test_screener_signal_filter_exists[chromium] PASSED [ 24%]
tests/test_e2e.py::TestScreenerFlow::test_screener_signal_filter_buy_returns_only_buy[chromium] FAILED [ 24%]
tests/test_e2e.py::TestScreenerFlow::test_screener_signal_filter_avoid_returns_only_avoid[chromium] FAILED [ 25%]
tests/test_e2e.py::TestScreenerFlow::test_screener_signal_filter_cleared_by_clear_button[chromium] FAILED [ 26%]
tests/test_e2e.py::TestRecommendationsFlow::test_recommendations_loads_content_or_prompt[chromium] FAILED [ 26%]
tests/test_e2e.py::TestWatchlistFlow::test_watchlist_loads[chromium] PASSED [ 27%]
tests/test_e2e.py::TestNewsFlow::test_news_loads_articles[chromium] PASSED [ 28%]
tests/test_e2e.py::TestNewsFlow::test_news_count_shown[chromium] PASSED  [ 28%]
tests/test_e2e.py::TestPortfolioFlow::test_add_holding_and_verify[chromium] FAILED [ 29%]
tests/test_e2e.py::TestPortfolioFlow::test_portfolio_summary_has_values[chromium] FAILED [ 29%]
tests/test_e2e.py::TestPortfolioChartHeight::test_perf_chart_canvas_inside_wrap_container[chromium] FAILED [ 30%]
tests/test_e2e.py::TestPortfolioChartHeight::test_perf_chart_height_is_bounded[chromium] FAILED [ 31%]
tests/test_e2e.py::TestPortfolioChartHeight::test_alloc_chart_height_is_bounded[chromium] FAILED [ 31%]
tests/test_e2e.py::TestPortfolioChartHeight::test_perf_chart_canvas_has_no_hardcoded_height[chromium] FAILED [ 32%]
tests/test_e2e.py::TestAlertsFlow::test_create_alert_and_verify[chromium] FAILED [ 33%]
tests/test_e2e.py::TestAlertsFlow::test_alerts_page_loads_list[chromium] PASSED [ 33%]
tests/test_e2e.py::TestCalendarFlow::test_calendar_loads_content[chromium] PASSED [ 34%]
tests/test_e2e.py::TestEducationFlow::test_education_loads_articles[chromium] PASSED [ 35%]
tests/test_e2e.py::TestILFundsFlow::test_il_funds_filters_loaded[chromium] PASSED [ 35%]
tests/test_e2e.py::TestILFundsFlow::test_il_funds_search_returns_results[chromium] FAILED [ 36%]
tests/test_e2e.py::TestILFundsFlow::test_il_funds_best_deals_loaded[chromium] PASSED [ 36%]
tests/test_e2e.py::TestRegistration::test_register_new_user_via_ui[chromium] FAILED [ 37%]
tests/test_e2e.py::TestRegistration::test_duplicate_email_rejected[chromium] FAILED [ 38%]
tests/test_e2e.py::TestRegistration::test_register_short_password_rejected[chromium] PASSED [ 38%]
tests/test_e2e.py::TestAuthMe::test_me_returns_user_info[chromium] PASSED [ 39%]
tests/test_e2e.py::TestFullWidthLayout::test_content_has_no_max_width_constraint[chromium] PASSED [ 40%]
tests/test_e2e.py::TestFullWidthLayout::test_content_stretches_with_viewport[chromium] PASSED [ 40%]
tests/test_e2e.py::TestFullWidthLayout::test_il_funds_table_is_wide[chromium] PASSED [ 41%]
